,ID карточки,ID товара:,ISBN,Автор,Возраст,Год издания,Голоса,Издательство,Кол-во страниц,Название,Переводчик,Редактор,Рейтинг,Серия,Тип обложки,Тираж,Формат,Художник,Цена,Обложка
274,274241,2042702,5699076816,Емец Д.,,2005,0,Эксмо,320,Черная-черная простыня,,,0,Любимые книги Тани Гроттер,Твердая глянцевая,,,,Не указана,https://img-gorod.ru/upload/iblock/649/6492e6023dd401dcae06e0053d79e544.jpg
275,274315,2042986,5699100504,Емец Д.,,2005,0,Эксмо,320,НЛО прибывает по расписанию ,,,0,Любимые книги Тани Гроттер,Твердая глянцевая,,,,Не указана,https://img-gorod.ru/upload/iblock/197/1976bb2ffbb35f9d09c8ca544196b6e4.jpg
276,275812,2049818,9785699119035,Емец Д.,,2005,0,Эксмо,432,Таня Гроттер и локон Афродиты,,,0,,Твердая бумажная,,20.8 x 13.4 x 2.5,,Не указана,https://img-gorod.ru/upload/iblock/73d/73d4741176d8b618eb0a8372dbb60639.jpg
277,278353,2060122,9785699136216,Емец Д.,12+,2005,0,Эксмо,416,Мефодий Буслаев Третий всадник мрака,,Рубис О.,0,Мефодий Буслаев,Твердая глянцевая,,20.9 x 13.5 x 2.4,,Не указана,https://img-gorod.ru/upload/iblock/078/07814b31be7ad848fa94153080b4a028.jpg
278,280147,2066840,5699134409,Емец Д.,,2005,0,Эксмо,304,Пришельцы из холодильника,,,0,Любимые книги Тани Гроттер,Твердая глянцевая,,,,Не указана,https://img-gorod.ru/upload/iblock/324/3242bca0e8ce1a7865368c30f4f041c9.jpg
279,282313,2074494,9785699145522,Емец Д.,,2006,0,Эксмо,416,Мефодий Буслаев Билет на Лысую гору,,,0,Мефодий Буслаев,Твердая глянцевая,,20.7 x 13.3 x 2.9,,Не указана,https://img-gorod.ru/upload/iblock/42f/42fe21d711fd4464f87d4937ab910a0f.jpg
280,284263,2081203,9785699161546,Емец Д.,,2006,0,Эксмо,416,Мефодий Буслаев Месть валькирий,,Рубис О.,0,Мефодий Буслаев,Твердая глянцевая,,20.8 x 13.5 x 2.7,,284,https://img-gorod.ru/upload/iblock/4ca/4ca1287687a0cbeeeb97a597c70a4f83.jpg
281,286345,2087495,9785699272334,Емец Д.,,2006,0,Эксмо,416,Таня Гроттер и перстень с жемчужиной ,,,0,Таня Гроттер,Твердая бумажная,,20.8 x 13.5 x 3,,Не указана,https://img-gorod.ru/upload/iblock/503/503b2d16c57e235126902daff4121341.jpg
282,289861,2097728,9785699185924,Емец Д.,,2006,0,Эксмо,416,Мефодий Буслаев Тайная магия Депресняка,,,0,Мефодий Буслаев,Твердая глянцевая,,20.7 x 13.5 x 2.7,,Не указана,https://img-gorod.ru/upload/iblock/4ed/4ed3f3bd0607c9cbb79131464cf10ce8.jpg
283,291593,2110293,9785699201693,Емец Д.,,2007,0,Эксмо,416,Мефодий Буслаев Лед и пламя Тартара,,Рубис О.,0,Мефодий Буслаев,Твердая глянцевая,,20.6 x 13.2 x 2.6,,303,https://img-gorod.ru/upload/iblock/0f3/0f375b96d01b66f554ca8c03cad50c1f.jpg
284,292318,2122703,9785699219230,Емец Д.,,2007,0,Эксмо,416,Таня Гроттер и проклятие некромага,,,0,Таня Гроттер,Твердая бумажная,,20.7 x 13.1 x 2.8,,Не указана,https://img-gorod.ru/upload/iblock/060/0607ddd09f5d6bab1da1239bb7450928.jpg
285,292872,2132505,9785699232987,Емец Д.,,2007,0,Эксмо,416,Мефодий Буслаев Первый эйдос,,Рубис О.,0,Мефодий Буслаев,Твердая глянцевая,,20.7 x 13.3 x 2.5,,Не указана,https://img-gorod.ru/upload/iblock/a82/a825dd3188eac18f5b48612dbbe62e16.jpg
286,293201,2139299,9785699246212,Емец Д.,,2007,1,Эксмо,416,Мефодий Буслаев Светлые крылья для темного стража,,Рубис О.,5,Мефодий Буслаев,Твердая глянцевая,,20.7 x 13.4 x 3,,303,https://img-gorod.ru/upload/iblock/6e0/6e0b0c5525118ad20183df060f429352.jpg
287,293953,2155685,9785699268399,Емец Д.,,2008,0,Эксмо,352,Таня Гроттер и болтливый сфинкс,,Рубис О.,0,Таня Гроттер,Твердая глянцевая,,21 x 13.3 x 2.8,,Не указана,https://img-gorod.ru/upload/iblock/ad1/ad18220dc8c9550d07fbbb90eb653b53.jpg
288,294153,2161630,9785699280643,Емец Д.,,2008,0,Эксмо,416,Мефодий Буслаев Лестница в Эдем,,,0,Мефодий Буслаев,Твердая глянцевая,,20.5 x 13.5 x 3.1,,Не указана,https://img-gorod.ru/upload/iblock/53e/53eeecd3435b433371530b87ac5d9196.jpg
289,294246,2163430,9785699280988,Емец Д.,,2008,0,Эксмо,384,Заступники земли Русской,,,0,Волшебные миры Дмитрия Емца,Твердая бумажная,,20.7 x 13.5 x 2.4,,Не указана,https://img-gorod.ru/upload/iblock/1c3/1c388c36490fb9ce05d3d72bc48ac0fa.jpg
290,294475,2164771,9785699285792,Емец Д.,,2008,0,Эксмо,416,Таня Гроттер и проклятие некромага,,,0,Таня Гроттер,Твердая глянцевая,,20.8 x 13.5 x 3,,Не указана,https://img-gorod.ru/upload/iblock/af7/af789b8303d73720b39e4e2aacd803ce.jpg
291,294509,2164869,9785699406517,Емец Д.,,2008,0,Эксмо,432,Таня Гроттер и локон Афродиты,,Кузнецова Т.,0,Таня Гроттер,Твердая глянцевая,,21 x 13 x 3.2,,Не указана,https://img-gorod.ru/upload/iblock/0bc/0bcfae23acbd37a9624b8d50a136a208.jpg
292,294512,2164881,9785699289455,Емец Д.,,2008,0,Эксмо,320,Черная-черная простыня,,,0,Волшебные миры Дмитрия Емца,Твердая бумажная,,20.8 x 13.5 x 2.3,,Не указана,https://img-gorod.ru/upload/iblock/ecf/ecf0eb2a724bb59e96669f034e63e937.jpg
293,294660,2165862,9785699285785,Емец Д.,,2008,0,Эксмо,432,Таня Гроттер и молот Перуна,,,0,Таня Гроттер,Твердая глянцевая,,21 x 13 x 3.2,,Не указана,https://img-gorod.ru/upload/iblock/ee7/ee78d59ba7115b7d685dc9be8da3d3be.jpg
294,294727,2166390,9785699293728,Емец Д.,,2008,0,Эксмо,416,Таня Гроттер и ботинки кентавра ,,,0,Таня Гроттер,Твердая глянцевая,,20.7 x 13.3 x 3.2,,Не указана,https://img-gorod.ru/upload/iblock/504/504d595277ccfd8550fc2399949f1bab.jpg
295,294924,2167434,9785699293742,Емец Д.,,2008,0,Эксмо,432,Таня Гроттер и колодец Посейдона,,,0,Таня Гроттер,Твердая глянцевая,,20.9 x 13.5 x 3.3,,Не указана,https://img-gorod.ru/upload/iblock/019/019b978acfdb1bf212c5c927cb9af50a.jpg
296,295378,2170913,9785699298396,Емец Д.,,2008,1,Эксмо,356,Таня Гроттер и полный Тибидохс,,,5,Таня Гроттер,Твердая глянцевая,,20.9 x 13.4 x 2.2,,Не указана,https://img-gorod.ru/upload/iblock/ee3/ee3c7c4795f6b1e43cc605643ce9915c.jpg
297,295567,2172355,9785699300549,Емец Д.,,2008,0,Эксмо,320,Большая книга ужасов 7 Черная-черная простыня ,,,0,Большая книга ужасов,Твердая глянцевая,,21 x 14.8 x 2,,Не указана,https://img-gorod.ru/upload/iblock/403/40382ee5557f71262c5bc22e90d92a99.jpg
298,295928,2175318,9785699315864,Емец Д.,,2008,0,Эксмо,416,Мефодий Буслаев Карта Хаоса,,,0,Мефодий Буслаев,Твердая глянцевая,,20.7 x 13.6 x 3.4,,Не указана,https://img-gorod.ru/upload/iblock/ca6/ca66de2469be472180964a810e0ef777.jpg
299,297029,2191046,9785699327027,Емец Д.,,2009,0,Эксмо,384,Мефодий Буслаев Ожерелье дриады,,,0,Мефодий Буслаев,Твердая глянцевая,85100,20.6 x 13.5 x 3,,303,https://img-gorod.ru/upload/iblock/9dd/9dd6343201333d98ccb19542e8fb838b.jpg
300,297142,2192015,9785699291885,Емец Д.,6+,2013,0,Эксмо,280,Дракончик Пыхалка,,Кузнецова Т.,0,,Твердая бумажная,5000,26.5 x 20.6 x 2.3,Тимофеева Виктория,Не указана,https://img-gorod.ru/upload/iblock/399/39908d8afdc6a6123f56055000d8f0f0.jpg
